                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2508,                 1.1918,                 1.4311,                0.84169,                0.81847,                0.84838,                0.52195,                  1.454,                 1.3999,                 1.3296,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.2373,                 1.1917,                 1.4175,                0.80272,                0.79801,                0.82419,                0.49435,                 1.5631,                 1.1144,                 1.3917,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.2357,                 1.1765,                 1.4088,                0.86201,                 0.8011,                 0.8528,                0.51362,                 1.4657,                0.93111,                   1.33,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.2525,                 1.2169,                 1.4341,                0.88166,                0.83365,                0.84649,                 0.5436,                 1.3544,                 1.0526,                  1.271,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.2056,                 1.2019,                 1.4128,                 0.7712,                0.80821,                0.84322,                0.48839,                 1.5044,                 1.0638,                 1.3682,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.2771,                 1.2004,                 1.4399,                0.82345,                0.84638,                0.88294,                 0.5341,                 1.4389,                0.85006,                 1.3855,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.2317,                 1.1407,                 1.4126,                 0.8533,                0.87418,                0.88565,                0.55252,                  1.414,                0.84906,                  1.329,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.2063,                 1.1264,                 1.4083,                 0.7455,                0.85675,                0.84516,                0.56525,                 1.3317,                 1.0385,                  1.254,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.2299,                 1.1461,                 1.4127,                 0.8164,                0.84736,                0.85367,                0.55246,                 1.4679,                0.87912,                 1.3154,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.2153,                 1.1632,                 1.4057,                0.90235,                0.86017,                0.88232,                0.55982,                  1.431,                 0.9556,                 1.2855,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.2026,                 1.1413,                 1.3977,                0.86851,                0.84321,                0.86685,                0.53817,                 1.4233,                 1.0485,                 1.3462,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.2405,                 1.1773,                 1.4229,                0.84577,                0.83821,                0.87604,                0.55878,                 1.3806,                0.94324,                 1.2728,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.2233,                 1.1596,                 1.4186,                0.90696,                 0.7998,                0.86252,                0.55055,                 1.4071,                0.85233,                 1.2825,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.1841,                 1.1341,                 1.3938,                0.83266,                0.85687,                0.86845,                0.57055,                 1.3335,                0.88011,                  1.262,             0.00060505,             0.00060505,             0.00060505
                     49,                  1.191,                 1.1089,                 1.3939,                0.88377,                0.83152,                 0.8731,                0.52121,                 1.5038,                0.83805,                 1.3951,             0.00059405,             0.00059405,             0.00059405
                     50,                  1.195,                  1.142,                 1.4047,                0.83829,                0.84095,                0.85837,                0.55553,                 1.3658,                0.84741,                 1.2843,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.2052,                  1.115,                 1.3945,                 0.8823,                0.83966,                0.86433,                0.55333,                 1.3605,                0.81658,                 1.2919,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.1905,                 1.1092,                 1.4074,                 0.8896,                 0.8723,                0.87817,                0.56639,                 1.3871,                0.82977,                 1.3416,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.1977,                 1.1295,                 1.4148,                 0.8497,                  0.855,                0.85832,                0.53359,                  1.467,                0.78049,                  1.371,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.1923,                 1.1003,                 1.4005,                0.83157,                0.83727,                0.84687,                0.51732,                 1.4844,                0.84673,                 1.4057,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.1591,                 1.1066,                 1.3816,                 0.9052,                0.86997,                0.89903,                0.56109,                 1.3887,                0.86276,                 1.2924,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.1687,                 1.1247,                 1.3815,                0.86889,                0.84778,                0.87788,                0.55169,                  1.399,                0.82146,                 1.3168,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.1731,                 1.1201,                 1.3843,                0.85228,                0.81522,                0.86395,                0.53471,                 1.4118,                0.82109,                 1.3194,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.1662,                 1.0756,                 1.3907,                0.90753,                0.86395,                  0.886,                0.58699,                    1.3,                0.78417,                 1.2374,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.1702,                 1.1048,                 1.3816,                0.86919,                 0.8534,                0.88252,                0.55431,                 1.3599,                0.77895,                 1.2752,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.1714,                  1.085,                 1.3859,                0.90184,                0.87835,                0.89265,                0.57141,                  1.313,                0.74944,                  1.236,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.1447,                  1.072,                 1.3745,                0.92342,                0.85129,                0.88996,                0.57612,                 1.3503,                0.78055,                  1.258,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.1433,                  1.061,                 1.3657,                0.87286,                0.89185,                0.88413,                0.50424,                 1.5702,                0.82244,                 1.4807,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.1399,                 1.0705,                 1.3659,                0.90081,                  0.875,                0.89111,                0.54263,                 1.4426,                0.79825,                 1.3552,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.1196,                 1.0432,                 1.3565,                0.89772,                 0.8494,                 0.8805,                 0.5298,                 1.4205,                0.87462,                 1.3495,             0.00042907,             0.00042907,             0.00042907
                     65,                  1.136,                 1.0456,                 1.3558,                0.90996,                0.87248,                0.91139,                0.58963,                 1.3028,                0.71438,                 1.2566,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.1082,                 1.0556,                 1.3528,                0.90248,                0.86574,                0.90487,                0.55706,                 1.4279,                0.78138,                 1.3902,             0.00040707,             0.00040707,             0.00040707
                     67,                  1.103,                 1.0133,                 1.3495,                0.90504,                0.84281,                0.87975,                0.52743,                 1.4999,                 0.7938,                 1.4368,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.1162,                 1.0129,                  1.351,                0.88612,                0.84363,                0.88021,                0.57543,                 1.3045,                0.78252,                 1.3253,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.1131,                 1.0189,                  1.354,                0.89131,                0.87388,                0.89148,                0.58835,                 1.2643,                0.74465,                 1.2407,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.0813,                0.98165,                 1.3362,                 0.9091,                0.87415,                0.89954,                0.56676,                 1.3951,                0.76953,                 1.3276,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.0833,                 0.9931,                 1.3406,                0.89859,                0.84962,                0.89626,                0.57066,                 1.3479,                0.76291,                 1.2913,             0.00035208,             0.00035208,             0.00035208
                     72,                  1.089,                0.97827,                 1.3422,                0.87086,                0.85447,                 0.8759,                0.57328,                 1.3756,                0.77528,                 1.3462,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.0882,                 1.0069,                 1.3397,                0.92097,                0.85213,                0.89439,                0.55733,                  1.429,                0.79088,                 1.3795,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.0732,                0.98677,                 1.3368,                0.91284,                0.87966,                0.90096,                0.54242,                 1.4711,                0.78239,                 1.4861,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.0728,                0.96907,                 1.3357,                0.89384,                0.86362,                0.88962,                0.53858,                 1.4807,                0.82669,                 1.4264,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.0674,                0.97255,                 1.3303,                0.90284,                0.86282,                0.89921,                0.59362,                 1.3012,                0.74448,                 1.2942,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.0587,                0.94235,                 1.3228,                0.90711,                0.82416,                0.87411,                0.57221,                  1.337,                0.74808,                 1.3344,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.0534,                0.95169,                 1.3192,                0.88262,                0.85228,                0.87127,                0.52953,                 1.5276,                0.81851,                 1.5429,             0.00027508,             0.00027508,             0.00027508
                     79,                 1.0599,                0.95104,                 1.3259,                0.87946,                0.86857,                0.88232,                0.55265,                 1.4347,                0.79581,                 1.4317,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.0308,                0.91435,                 1.3056,                0.88214,                0.87091,                0.89188,                0.57558,                 1.3847,                0.75401,                  1.325,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.0627,                0.93287,                 1.3267,                0.85552,                0.88421,                0.87866,                0.54629,                 1.4241,                0.79117,                 1.4191,             0.00024209,             0.00024209,             0.00024209
